headline,sentiment_label,date,stock
"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development .",neutral,2018-01-09,TSLA
No changes in media activity were seen in October compared with September .,neutral,2018-01-10,TSLA
The StoneGate product is centrally manageable and suited for both physical and virtual environments .,neutral,2018-01-10,TSLA
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive,2018-01-10,TSLA
One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral,2018-01-11,NVDA
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative,2018-01-11,AAPL
Central Europe is an important market area for Honka .,neutral,2018-01-11,AAPL
The company has a wide selection of metal products and services .,neutral,2018-01-12,TSLA
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",negative,2018-01-12,TSLA
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,2018-01-15,NVDA
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",negative,2018-01-15,TSLA
"shock phase ' , consumers have once again started to plan and implement building projects .",neutral,2018-01-15,NVDA
Aspo serves demanding business-to-business customers .,neutral,2018-01-15,NVDA
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral,2018-01-16,NVDA
"According to Finnish L+Ænnen Tehtaat 's CEO Matti Karppinen , now that L+Ænnen Tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions .",neutral,2018-01-16,NVDA
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral,2018-01-16,TSLA
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 .,negative,2018-01-16,AAPL
Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .,neutral,2018-01-17,TSLA
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",positive,2018-01-18,AAPL
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral,2018-01-18,NVDA
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral,2018-01-19,TSLA
Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .,neutral,2018-01-19,TSLA
The company 's market share is continued to increase further .,positive,2018-01-19,TSLA
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,2018-01-19,AAPL
Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .,positive,2018-01-19,AAPL
In addition the deal includes a call option which will enable Maritim Food AS to increase its holding in Sandanger AS to 51 % in the future .,positive,2018-01-22,NVDA
"As the world leaders in developing UV technology for municipal wastewater , drinking water , and industrial water treatment systems , Trojan Technologies was a logical partner in providing W+Ærtsil+Æ with UV technology for ballast water treatment .",neutral,2018-01-22,AAPL
The new activity will incur an investment of about 5 MEUR .,neutral,2018-01-22,NVDA
"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral,2018-01-23,NVDA
The value of the orders is about EUR 70mn .,neutral,2018-01-23,NVDA
"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral,2018-01-23,NVDA
Rimi supermarket is the key customer in Magistral center .,neutral,2018-01-23,AAPL
"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",positive,2018-01-23,NVDA
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative,2018-01-23,NVDA
An Apple spokeswoman said the company declined to comment .,neutral,2018-01-24,TSLA
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",negative,2018-01-24,AAPL
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,positive,2018-01-25,AAPL
The Board of Directors was authorized to decide on other terms of the share issue .,neutral,2018-01-25,TSLA
Feed companies Suomen Rehu and Raisio do no import GMO feed .,neutral,2018-01-26,NVDA
The acquisition is part of Ramirent 's Central and Eastern European growth strategy .,neutral,2018-01-26,AAPL
The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative,2018-01-29,AAPL
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral,2018-01-29,AAPL
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",positive,2018-01-29,NVDA
"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding .",neutral,2018-01-30,NVDA
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,positive,2018-01-30,AAPL
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",positive,2018-01-30,AAPL
Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .,neutral,2018-01-30,NVDA
"The payment date is March 25 , 2010 .",neutral,2018-01-30,NVDA
"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone .",neutral,2018-01-31,AAPL
"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral,2018-01-31,TSLA
"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year .",positive,2018-01-31,TSLA
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral,2018-01-31,TSLA
It inspects the companys strategic strengths and weaknesses .,neutral,2018-02-02,AAPL
"Master of Mayawas jointly developed by Nokia Siemens Networks and UFA - FremantleMedia , and will be actively advertised by Maxis in the end of May 2007 .",neutral,2018-02-02,TSLA
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,2018-02-02,TSLA
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive,2018-02-02,NVDA
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,2018-02-05,TSLA
"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",positive,2018-02-05,TSLA
"HELSINKI AFX - Kesko Corp is expected to report a lower second quarter EPS today due to tax charges , but other earnings lines are seen higher year-on-year , analysts said .",negative,2018-02-06,NVDA
"Turun kaupunkin , Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work .",positive,2018-02-06,NVDA
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",neutral,2018-02-06,AAPL
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",neutral,2018-02-07,AAPL
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral,2018-02-07,TSLA
"( ADP News ) - Nov 28 , 2008 - Finnish power-supply solutions provider Efore Oyj ( OMX : EFO1V ) announced today the launch of OPUS DC , the latest power system in its OPUS product line .",positive,2018-02-07,AAPL
Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral,2018-02-07,TSLA
Pretax profit totaled EUR 4.9 mn compared to EUR 5.2 mn in the first quarter of 2005 .,negative,2018-02-08,NVDA
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral,2018-02-08,TSLA
"In 2006 , TeliaSonera net sales were SEK 91 bn , EBITDA was SEK 32.266 bn , net income was SEK 19.28 bn .",neutral,2018-02-08,NVDA
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,2018-02-08,NVDA
"The Russian government will contribute 20 % of the necessary funds , he said .",neutral,2018-02-08,NVDA
"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",positive,2018-02-08,AAPL
"Nurminen Logistics provides high-quality logistics services , such as railway transports , terminal services , forwarding , special and heavy transports and medical transports .",neutral,2018-02-12,NVDA
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,2018-02-13,TSLA
The value of the total investment is about EUR 600mn .,neutral,2018-02-14,NVDA
"pct lower at 4,442.10 .",neutral,2018-02-14,AAPL
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,2018-02-14,AAPL
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,2018-02-15,TSLA
"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive,2018-02-15,NVDA
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,2018-02-15,TSLA
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",neutral,2018-02-16,AAPL
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral,2018-02-16,AAPL
"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",negative,2018-02-19,AAPL
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",neutral,2018-02-19,AAPL
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,2018-02-20,NVDA
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",positive,2018-02-20,AAPL
The shops are located in the capital region and the Paijat-Hame region .,neutral,2018-02-20,AAPL
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,2018-02-20,AAPL
"Neste Oil s refineries have a combined crude oil refining capacity of approximately 260,000 barrels a day .",neutral,2018-02-20,NVDA
The proportion of Estonian and Lithuanian passengers on the Tallinn-Helsinki route also grew in July .,positive,2018-02-21,AAPL
Rimi supermarket is the key customer in Magistral center .,neutral,2018-02-21,NVDA
"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral,2018-02-22,NVDA
The value of the order is EUR 4mn .,neutral,2018-02-22,AAPL
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",neutral,2018-02-22,NVDA
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",positive,2018-02-22,NVDA
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral,2018-02-22,TSLA
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative,2018-02-22,TSLA
A new Kveyt light variety of Suomalainen Pekoni marketed under the Atria brand name is now available to consumers in Finland .,positive,2018-02-22,AAPL
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,2018-02-22,TSLA
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,2018-02-22,NVDA
"So far the company has awarded more than $ 350,000 worth of tools and materials .",neutral,2018-02-23,TSLA
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",neutral,2018-02-23,NVDA
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,2018-02-23,NVDA
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",negative,2018-02-23,NVDA
"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year .",neutral,2018-02-23,NVDA
"M-real , which is part of Finnish paper maker Metsaliitto Group , is due to release its second-quarter report at around 12:00 EET on 5 August 2010 .",neutral,2018-02-26,AAPL
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",neutral,2018-02-26,NVDA
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",neutral,2018-02-26,AAPL
"Honkarakenne 's customer in this project is one of the biggest real estate companies in Kazakhstan , according to the company .",neutral,2018-02-26,TSLA
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,2018-02-27,NVDA
"This could be any of us at any time , '' she said .",neutral,2018-02-27,AAPL
"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",positive,2018-02-27,NVDA
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,2018-02-27,TSLA
The reductions will be concluded by autumn 2010 .,neutral,2018-02-28,TSLA
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,2018-02-28,AAPL
"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",neutral,2018-03-01,NVDA
"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive,2018-03-05,AAPL
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,2018-03-05,NVDA
`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,neutral,2018-03-05,TSLA
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,2018-03-05,NVDA
Acquisitions have been made and businesses have been well integrated .,positive,2018-03-06,NVDA
The Finnish company previously said its operating result will be lower than the break-even posted a year earlier .,negative,2018-03-06,TSLA
"According to Mark White , Locatrix Communications ' CEO , the company 's web services interface allows device owners , friends , and family to track and locate TWIG users via any web browser .",neutral,2018-03-06,AAPL
"According to Olvi , the company is already negotiating new agreements .",neutral,2018-03-06,TSLA
Pohjola and cooperative banks have continued to combine their branch office network .,neutral,2018-03-06,NVDA
Nokia s U.S. shares were 3.3 percent lower at $ 12.73 by 1750 GMT .,negative,2018-03-06,TSLA
Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral,2018-03-06,AAPL
Stora Enso will receive a 19.9 pct equity interest in the combined company .,neutral,2018-03-07,TSLA
"The sale will be finalized in September or October , the company said .",neutral,2018-03-07,AAPL
The increase range will vary up to 10 % .,neutral,2018-03-08,TSLA
The expansion is to be finalized in the autumn of 2009 .,neutral,2018-03-08,AAPL
"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral,2018-03-12,TSLA
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",positive,2018-03-12,TSLA
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",negative,2018-03-12,AAPL
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",negative,2018-03-12,TSLA
"The sale will be finalized in September or October , the company said .",neutral,2018-03-12,TSLA
"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency .",positive,2018-03-14,NVDA
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,2018-03-14,AAPL
Finnish business software group AffectoGenimap Oyj said it had signed an agreement to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,positive,2018-03-14,TSLA
The company will use the assets for strengthening its balance sheet and financial position .,positive,2018-03-14,AAPL
Aspocomp intends to set up a plant to manufacture printed circuit boards with an investment of Rs310 crore .,neutral,2018-03-14,AAPL
"`` We are proud to welcome another distribution facility to north Mississippi and the region known as the logistics center of the United States , '' said Gray Swoope , executive director of MDA .",positive,2018-03-15,TSLA
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral,2018-03-15,AAPL
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",positive,2018-03-15,TSLA
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",neutral,2018-03-15,AAPL
Neste Shipping is the most likely to remain Finnish as the oil sector and its transports are significant for emergency supply .,neutral,2018-03-15,NVDA
"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",positive,2018-03-16,TSLA
"Finnish security and privacy software solutions developer Stonesoft Oyj said on January 7 , 2008 that the preliminary sales of its StoneGate products grew by 59 pct year-on-year to 3.6 mln euro ( $ 5.3 mln ) for the fourth quarter of 2007 .",positive,2018-03-16,NVDA
"Cargotec 's sales totalled EUR 3.4 billion in 2008 and it employs approximately 11,000 people .",neutral,2018-03-16,TSLA
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,2018-03-19,TSLA
"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral,2018-03-19,TSLA
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,2018-03-21,TSLA
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral,2018-03-21,TSLA
Viking Line and STX Finland said on Monday that there were plans to build a 240 million euro ferry that would be launched on the Turku-Stockholm route in spring 2013 .,neutral,2018-03-21,AAPL
"According to its notice , Skandinaviska Enskilda Banken AB publ Helsinki Branch has on 10 August 2009 divested in total 11,958,000 Alma Media shares to Ilkka-Yhtyma Oyj and Kaleva Kustannus Oy , as the conditions of the agreement made by the companies on 1 July 2009 fulfilled .",neutral,2018-03-21,AAPL
"After piloting , the instrument will be further developed according to the experiences gained .",neutral,2018-03-22,NVDA
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative,2018-03-22,AAPL
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,2018-03-23,NVDA
"It is Estonia 's second-largest meat processing company by market share ( according to AC Nielsen 's 2008 data , 13 percent ) .",neutral,2018-03-26,NVDA
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,2018-03-26,NVDA
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",neutral,2018-03-26,TSLA
The writing and publication of Lemmink+Æinen - s history is a continuation of earlier collaboration between Antti Tuuri and the company .,neutral,2018-03-27,AAPL
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company - s shares outstanding .",neutral,2018-03-27,NVDA
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive,2018-03-27,NVDA
Ramirent is a leading company in machinery and equipment rentals for construction and industry .,positive,2018-03-28,TSLA
"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .",positive,2018-03-28,TSLA
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,2018-03-28,AAPL
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",positive,2018-03-28,TSLA
"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",positive,2018-03-29,NVDA
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,2018-03-30,AAPL
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,2018-03-30,TSLA
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,2018-04-03,TSLA
"Rapala VMC Corporation Rapala , a leading fishing tackle and sporting goods manufacturer and distributor , is the main owner of Peltonen with its 80 % shareholding .",neutral,2018-04-05,TSLA
"Most of the new substations support EDGE technology , which enables faster data traffic .",neutral,2018-04-05,NVDA
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,2018-04-05,AAPL
It has several innovative small molecule and biological drug candidates at different stages of clinical development .,neutral,2018-04-05,AAPL
An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .,neutral,2018-04-05,TSLA
Terms of the acquisition were not disclosed .,neutral,2018-04-06,AAPL
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative,2018-04-10,TSLA
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral,2018-04-10,AAPL
"In banking , Sampo A was unchanged at 14.24 eur and Nordea rose 0.42 pct to 9.51 eur .",positive,2018-04-10,NVDA
The company 's share is listed in the Mid Cap segment of the NASDAQ OMX Helsinki .,neutral,2018-04-11,NVDA
The new policy was also aimed at making the companies more profitable and competitive .,positive,2018-04-11,TSLA
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,2018-04-11,NVDA
"The challenge for the company , however , is finding new sources of raw material , said Risto Rinne , CEO of Neste Oil .",neutral,2018-04-12,AAPL
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,2018-04-13,TSLA
Scanfil expects net sales in 2008 to remain at the 2007 level .,neutral,2018-04-13,NVDA
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,negative,2018-04-13,NVDA
"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,2018-04-13,TSLA
Finnish elevators and escalators maker KONE Corporation said on Tuesday ( 18 March ) that it has received a major order from Sir Robert McAlpine to supply all elevators and escalators for the Watermark Place project in the City of London .,positive,2018-04-13,AAPL
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,negative,2018-04-13,TSLA
"Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap .",neutral,2018-04-16,AAPL
The increase range will vary up to 10 % .,neutral,2018-04-16,AAPL
"M-real generated a turnover of EUR5 .6 bn in 2006 and has 15,500 employees .",neutral,2018-04-18,TSLA
"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral,2018-04-18,TSLA
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,2018-04-18,TSLA
"Empresa de Desarrollo Urbano de Quito , INNOVAR-UIO , Ecuador has commissioned Poyry to prepare a feasibility study for a new urban rapid mass transit system .",neutral,2018-04-18,TSLA
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,2018-04-18,TSLA
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+¦rbindelsen bridge in Gothenburg in Sweden .,positive,2018-04-19,NVDA
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,neutral,2018-04-20,TSLA
